Student_ID,Student_Name,Student_Department,Student_Year,Student_Contact_Info,Transaction_ID,Transaction_DateTime,Menu_Item_ID,Quantity_Purchased,Total_Cost,Payment_Method,Menu_Item_Name,Menu_Item_Category,Menu_Item_Price,Inventory_ID,Stock_Quantity,Reorder_Level,Purchase_Price,Supplier_Info,Review_ID,Rating,Comments,Staff_ID,Staff_Name,Staff_Position,Staff_Contact_Info,Canteen_Location_ID,Building_Name,Floor_Number,Seating_Capacity
7311,Richard Barron,pay,Sophomore,qcrane@example.com,31715,10/10/2022 23:51,35,2,13.57,Card,amount,Dessert,2.03,3519,22,3,1.28,Phelps-Davis,883,4,,896,Audrey Hernandez,Cashier,contrerasautumn@example.org,2,Joeview,1,92
7890,Shelly Cruz,might,Sophomore,vlewis@example.org,68373,4/11/2023 17:03,21,4,9.83,Cash,discover,Dessert,4.16,7783,82,2,4.74,Lopez-Wolfe,750,5,Everybody this fill discussion end mother herself. Whether soon visit too artist simple. As country way sign make while amount past.,535,Emily Hansen,Chef,dalton44@example.org,2,Petersonmouth,1,112
1663,,type,Freshman,cobbdana@example.com,18373,1/29/2020 7:08,20,4,3.06,Cash,debate,Dessert,7.12,4497,56,7,2.11,Fernandez Group,381,3,About important operation laugh model. Particular enjoy condition small while effect look. Process step resource different.,657,Jamie Griffith,Chef,nicolebrown@example.com,4,East Ian,3,187
5242,Kathleen Kelly,small,Junior,qlopez@example.com,43977,2/1/2020 18:23,75,3,11.08,Cash,property,Beverage,4.34,8219,95,10,4.32,Tucker Inc,516,5,Everything anything light somebody blue girl moment purpose. Then chair science say office economy. Drive development speech collection.,843,Dr. Ian Castro,Waiter,ramirezholly@example.org,3,Dakotaside,2,144
9376,Heather Brown,billion,Freshman,kimberly71@example.net,30668,7/22/2020 13:01,38,5,12.53,Card,decision,Beverage,9.21,2263,29,2,3.12,Chapman LLC,786,4,"Within politics ahead guess note relationship. Law protect form because. Catch onto project raise list.
Rich official purpose. Middle nation source local.
Machine maybe crime teacher sure.",667,Christopher King,Waiter,sanchezcourtney@example.net,3,New Ryan,1,173
8961,,audience,Sophomore,wilsonvanessa@example.net,68505,5/10/2022 1:43,47,2,6.59,Card,cultural,Main Course,3.13,7994,45,10,1.25,Jones-Watkins,245,3,Daughter somebody increase many. Bad process night three war. Media probably there trial.,241,Alyssa Robertson,Chef,christinesmith@example.com,2,Port Emily,1,58
7634,Francisco Mason,information,Junior,amanda29@example.net,79150,3/4/2021 19:45,51,1,2.46,Card,break,Dessert,6.58,7463,42,8,3.56,Moody-Cobb,709,4,,273,Stacey Rogers,Waiter,rachel72@example.com,1,North Erik,3,153
5969,William Jackson,alone,Sophomore,lynchsheri@example.com,73866,10/28/2020 19:54,71,5,8.06,Card,Democrat,Beverage,3.53,1644,54,3,3.32,"Zimmerman, Bell and Garrett",251,5,"Challenge side admit number raise weight help. Million them while you owner suddenly free.
Have in while until. They store probably clearly. Wonder start fund himself.",256,Annette Green,Chef,brittanygonzalez@example.org,4,West Christian,3,195
8808,Howard Torres,pay,Junior,dburton@example.org,83584,10/30/2022 8:26,17,4,7.97,Card,technology,Beverage,5.47,3955,12,10,4.77,Perry-Miller,513,3,,312,David Hill,Chef,smithkurt@example.org,3,Hernandezberg,2,42
6866,Matthew Clark,our,Senior,margaretgregory@example.net,89164,10/28/2022 15:24,38,2,3.32,Card,service,Beverage,7.73,5091,31,10,3.53,Johnson Ltd,987,1,Ahead wait pressure employee size. Learn speech measure rather whatever. Anyone can door can opportunity least score.,268,Kimberly Waters,Waiter,sandra45@example.org,5,Lake Carloshaven,1,68
